Militaire eenheid,2023-01-01,2023-02-02,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
"1-ша окрема мотострілецька «Слов'янська» бригада (в/ч 08801) /// 1st separate motorized rifle ""Sloviansk"" brigade",,"48.0819888, 37.6698037","48.0819888, 37.6698037","48.0819888, 37.6698037","48.1030861, 37.6677441","48.0856584, 37.6759842","48.0856584, 37.6759842","48.0856584, 37.6759842","48.0856584, 37.6759842","48.0968954, 37.7726294","48.0913918, 37.6600194","48.0913918, 37.6600194"
10-та артилерійська бригада ЛНР /// 10th artillery brigade of the LPR,,"48.6256503, 38.1458182","48.6610431, 38.0970687","48.6610431, 38.0970687","48.661043, 38.097069","48.661043, 38.097069","48.661043, 38.097069","48.661043, 38.097069","48.6605894, 38.0956957","48.6605894, 38.0956957","48.6605894, 38.0956957","48.6605894, 38.0956957"
"10-та окрема бригада спеціального призначення /// 10th Separate Special Purpose Brigade
","46.7656278, 33.3715431","47.1452463, 33.9345473",,,,,,,,,,
"100-та окрема мотострілецька бригада (ДНР) /// 100th Separate Motorized Rifle Brigade (DPR)
","47.9488991, 37.5960691","47.9488991, 37.5960691","47.7318325, 36.9763259","47.7318325, 36.9763259",,,,,,,,
102-га окрема бригада оперативного призначення (в/ч 6752) /// 102nd separate brigade of operational assignment,,"46.7613187, 36.8036852","46.7613187, 36.8036852","46.7613187, 36.8036852","46.761319, 36.803685","46.761319, 36.803685","46.761319, 36.803685","46.761319, 36.803685","46.761319, 36.803685","46.761319, 36.803685","46.761319, 36.803685","46.761319, 36.803685"
104-й десантно-штурмовий полк зі складу 76-ї дивізії /// 104th Airborne Assault Regiment from the 76th Division,,"49.0656318, 38.2218499","49.0656318, 38.2218499","49.0656318, 38.2218499","49.065632, 38.22185","49.065632, 38.22185","49.065632, 38.22185","49.065632, 38.22185","47.3686661, 35.8087469","47.441398, 35.7860878","47.4365214, 35.7957013","47.4365214, 35.7957013"
108-й парашутно-десантний полк /// 108th Air Assault Regiment,,"49.0408449, 38.2935129","49.0408449, 38.2935129","49.0408449, 38.2935129","49.040845, 38.293513","49.040845, 38.293513","49.040845, 38.293513","49.040845, 38.293513",,,,
109-й стрілецький полк ДНР /// 109th Rifle Regiment DPR,,"48.2205785, 37.7914549","48.2205785, 37.7914549","48.2205785, 37.7914549","48.220578, 37.791455","48.220578, 37.791455","48.220578, 37.791455","48.220578, 37.791455","48.220578, 37.791455","48.220578, 37.791455","48.2232086, 37.7871634","48.2232086, 37.7871634"
"11-а окрема десантно-штурмова бригада /// 11th Separate Assault Brigade
","46.7484858, 33.2556142","46.431471, 33.0604711","46.431471, 33.0604711","46.431471, 33.0604711",,,,,,,,
11-а окрема мотострілецька бригада (ДНР) /// 11th Separate Motorized Rifle Brigade (DPR),"48.1194757, 37.8206042","48.1087024, 37.8199173",,,,,,,,,,
"11-й окремий мотострілецький полк «Восток» (в/ч 08818) /// 11th separate motorized rifle regiment ""Vostok""",,"48.0845392, 37.7369035","48.0845392, 37.7369035","48.0845392, 37.7369035","48.084539, 37.736904","48.084539, 37.736904","48.084539, 37.736904","48.084539, 37.736904",,,,
"113-й окремий гвардійський мотострілковий батальйон /// 113th Separate Guards Motorized Rifle Battalion
","46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333",,,,,,,,
121-й полк мобілізаційного резерву ДНР /// 121st Regiment of the Mobilization Reserve of the DPR,,"47.3629911, 36.6515266","47.3629911, 36.6515266","47.3629911, 36.6515266","47.362991, 36.651527","47.362991, 36.651527","47.362991, 36.651527","47.362991, 36.651527","47.35927, 36.6405404","47.35927, 36.6405404","47.35927, 36.6405404","47.35927, 36.6405404"
123-й стрілецький полк ДНР /// 123st Regiment (DPR),,"47.7080167, 37.2240026","47.7080167, 37.2240026","47.7080167, 37.2240026","47.708017, 37.224003","47.708017, 37.224003","47.708017, 37.224003","47.708017, 37.224003","47.708017, 37.224003","47.708017, 37.224003","47.708017, 37.224003","47.708017, 37.224003"
"126-а окрема гвардійська бригада берегової оборони /// 126th Separate Guards Coastal Defense Brigade 
","46.7630849, 33.4218144","46.6142813, 32.7462116","46.6142813, 32.7462116","46.6142813, 32.7462116",,,,,,,,
"129-й полк (ДНР) /// 129st Regiment (DPR)
","46.8613932, 35.3885886","47.4506046, 35.6103796",,,,,,,,,,
131-й резервний полк (ДНР) /// 131st Reserve Regiment (DPR),"47.7697389, 36.7789048","47.7697389, 36.7789048",,,,,,,,,,
136-а окрема гвардійська мотострілецька бригада /// 136th Separate Guards Motorized Rifle Brigade,"47.6717037, 37.3067378","47.704983, 37.2312133",,,,,,,,,,
"14-й батальйон територіальної оборони «Прізрак» /// 14th Territorial Defense Battalion ""Prizrak"" (LPR)",,"48.8084063, 38.2808949","48.8084063, 38.2808949","48.8084063, 38.2808949","48.808406, 38.280895","48.808406, 38.280895","48.808406, 38.280895","48.808406, 38.280895","48.808406, 38.280895","48.808406, 38.280895","48.808406, 38.280895","48.7839793, 38.2767756"
143-й мотострілецький полк (в/ч 21634) зі складу 127-ї МСД /// 143rd Motorized Rifle Regiment from the 127th MRD,,"47.7266925, 36.6729006","47.7193021, 36.6344485","47.7193021, 36.6344485","47.719302, 36.634448","47.719302, 36.634448","47.7047475, 36.6169323","47.7047475, 36.6169323","47.7047475, 36.6169323","47.7047475, 36.6169323","47.7047475, 36.6169323","47.7047475, 36.6169323"
1430-й мотострілецький полк /// 1430th motorized rifle regiment,,"47.4157515, 35.8231541","47.4157515, 35.8231541","47.4157515, 35.8231541","47.415752, 35.823154","47.415752, 35.823154","47.415752, 35.823154","47.415752, 35.823154","47.415752, 35.823154","47.3283271, 35.7527741","47.2067178, 35.7191344","47.2067178, 35.7191344"
144-та мотострілецька дивізія /// 144th Guards Motor Rifle Division,,"49.0420853, 38.2266884","49.0420853, 38.2266884","49.0420853, 38.2266884","49.042085, 38.226688","49.042085, 38.226688","49.042085, 38.226688","49.042085, 38.226688","49.042085, 38.226688","49.042085, 38.226688","49.042085, 38.226688","49.0510866, 38.1429158"
155-та бригада морської піхоти (в/ч 30926) /// 155th Separate Brigade of Marines,,"47.7509817, 37.2928993","47.7600699, 37.2884148","47.7600699, 37.2884148","47.76007, 37.288415","47.76007, 37.288415","47.76007, 37.288415","47.76007, 37.288415","47.7561464, 37.3024912","47.7584546, 37.295968","47.7584546, 37.295968","47.7584546, 37.295968"
2-й батальйон територіальної оборони ДНР /// 2nd battalion of territorial defense of the DPR,,"48.0571645, 37.6621213","48.0571645, 37.6621213","48.0571645, 37.6621213","48.0365073, 37.5962037","48.0365073, 37.5962037","48.0365073, 37.5962037","48.0365073, 37.5962037","48.0365073, 37.5962037","48.0365073, 37.5962037","48.0365073, 37.5962037","48.0365073, 37.5962037"
2-й мотострілецький батальйон зі складу 57-ї ОМБр /// 2nd motorized rifle battalion from the 57th SMBr,,"48.6953677, 38.9852725","48.6953677, 38.9852725","48.6953677, 38.9852725","48.695368, 38.985272","48.695368, 38.985272","48.695368, 38.985272","48.695368, 38.985272","48.695368, 38.985272","48.695368, 38.985272","48.695368, 38.985272","48.695368, 38.985272"
2-й парашутно-десантний батальйон зі складу 51-го ПШД /// 2nd paratrooper battalion according to the 51st Parachute Regiment,,"48.6868279, 38.9893638","48.6868279, 38.9893638","48.6868279, 38.9893638","48.686828, 38.989364","48.686828, 38.989364","48.686828, 38.989364","48.686828, 38.989364","48.686828, 38.989364","48.686828, 38.989364","48.686828, 38.989364","48.686828, 38.989364"
205-а окрема мотострілецька бригада /// 205th Separate Motorized Rifle Brigade,"46.7584407, 33.3938317","46.5604806, 33.8057754","46.5604806, 33.8057754","46.5604806, 33.8057754","46.560481, 33.805775","46.560481, 33.805775","46.560481, 33.805775","46.560481, 33.805775","46.68357, 32.8860009","46.68357, 32.8860009","46.6260699, 32.8959588","46.6260699, 32.8959588"
217-й парашутно-десантний полк (в/ч 62295) зі складу 98-ї ПДД /// 217th Airborne Regiment from the 98th Airborne Division,,"48.556785, 38.0310734","48.5551943, 38.0108174","48.5551943, 38.0108174","48.555194, 38.010817","48.555194, 38.010817","48.5813204, 38.0029204","48.5772319, 38.0139066","48.5772319, 38.0139066","48.5986928, 37.9885009","48.5986928, 37.9885009","48.5986928, 37.9885009"
227 артилерійська бригада /// 227th Artillery Brigade,"46.8084705, 33.4835201","46.6446923, 33.4643527",,,,,,,,,,
234-й десантно-штурмовий полк /// 234th Airborne Assault Regiment,,"49.1750083, 38.1322422","49.1750083, 38.1322422","49.1750083, 38.1322422","49.175008, 38.132242","49.175008, 38.132242","49.175008, 38.132242","49.175008, 38.132242","49.175008, 38.132242",,,
234-й десантно-штурмовий полк зі складу 76-ї дивізії /// 234th Airborne Assault Regiment from the 76th Division,,"49.0137786, 38.1632515","49.0173813, 38.1378457","49.0173813, 38.1378457","49.017381, 38.137846","49.017381, 38.137846","49.017381, 38.137846","49.017381, 38.137846","47.2386053, 35.7929896","47.4584389, 35.7565904","47.4584389, 35.7565904","47.4584389, 35.7565904"
237-й десантно-штурмовий полк зі складу 76-ї дивізії /// 237th Airborne Assault Regiment from the 76th Division,,"49.0169309, 38.1835076","49.0169309, 38.1835076","49.0169309, 38.1835076","49.016931, 38.183508","49.016931, 38.183508","49.016931, 38.183508","49.016931, 38.183508","47.2817038, 35.6957018","47.4677071, 35.7369038","47.4677071, 35.7369038","47.4677071, 35.7369038"
238-ма артилерійська бригада /// 238th Artillery Brigade ,,"48.0569347, 37.7055525","48.0569347, 37.7055525","48.0569347, 37.7055525","48.056935, 37.705552","48.056935, 37.705552","48.056935, 37.705552","48.056935, 37.705552","48.056935, 37.705552","48.056935, 37.705552","48.056935, 37.705552","48.056935, 37.705552"
247-й гвардійський десантно-штурмовий полк /// 247th Guards Air Assault Regiment,"46.6021597, 32.7917587","48.4691128, 38.2878246","48.4691128, 38.2878246","48.4691128, 38.2878246","48.469113, 38.287825","48.469113, 38.287825","48.469113, 38.287825","48.469113, 38.287825","47.705909, 36.7978003","47.705909, 36.7978003","47.4724992, 35.9796709","47.4724992, 35.9796709"
255-й гвардійський мотострілецький полк /// 255th Guards Motorized Rifle Regiment,,"48.0651277, 37.7576825","48.0651277, 37.7576825","48.0651277, 37.7576825","48.065128, 37.757682","48.065128, 37.757682","48.065128, 37.757682","48.065128, 37.757682","48.065128, 37.757682","48.065128, 37.757682","48.065128, 37.757682","48.065128, 37.757682"
27-ма окрема мотострілецька бригада (в/ч 61899) /// 27th Separate Guards Motor Rifle Brigade,,"49.5242483, 37.9807433","49.5242483, 37.9807433","49.5242483, 37.9807433","49.524248, 37.980743","49.524248, 37.980743","49.524248, 37.980743","49.524248, 37.980743","49.4639281, 37.9596291","49.4639281, 37.9596291","49.4639281, 37.9596291","49.508538, 37.989845"
277-й стрілецький батальйон /// 277th Rifle Battalion,,"48.2120685, 37.7773226","48.2120685, 37.7773226","48.2120685, 37.7773226","48.2074922, 37.7337214","48.2074922, 37.7337214","48.2074922, 37.7337214","48.2074922, 37.7337214","48.2074922, 37.7337214","48.2074922, 37.7337214","48.2028019, 37.7023931","48.2094374, 37.7070278"
291-й гвардійський мотострілецький полк /// 291st Guards Motorized Rifle Regiment,"47.7817366, 36.8183869","47.7817366, 36.8183869","47.7715854, 36.694103","47.7715854, 36.694103","47.771585, 36.694103","47.771585, 36.694103","47.4549593, 35.7757146","47.4549593, 35.7757146","47.4050255, 35.7815515","47.4050255, 35.7815515","47.2414172, 35.7427597","47.2414172, 35.7427597"
3-й мотострілецький батальйон зі складу 114-ї ОМСБр /// 3rd Motorized Rifle Battalion from the 114th Infantry Brigade,,"47.9972718, 37.5503426","47.9972718, 37.5503426","47.9972718, 37.5503426","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343"
3-тя мотострілецька дивізія (в/ч 54046) /// 3rd Motor Rifle Division,,"49.2339227, 38.0579223","49.2339227, 38.0579223","49.2339227, 38.0579223","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922"
30-та окрема мотострілецька бригада /// 30th separate motorized rifle brigade,,"49.1369949, 38.2617269","49.1369949, 38.2617269","49.1369949, 38.2617269","49.136995, 38.261727","49.136995, 38.261727","49.136995, 38.261727","49.136995, 38.261727","49.274049, 38.0241461","49.274049, 38.0241461","48.0734202, 37.9577213","48.0734202, 37.9577213"
31-ша окрема десантно-штурмова бригада (в/ч 73612) /// 31st Guards Air Assault Brigade,,"48.5672004, 39.2922994","48.5672004, 39.2922994","48.5672004, 39.2922994","48.5672, 39.292299","48.5672, 39.292299","48.5672, 39.292299","48.5672, 39.292299","48.5672, 39.292299","48.4801122, 38.0178768","48.4539332, 38.0048305","54.4460946, 48.2390137"
33-й гвардійський мотострілецький полк /// 33rd Guards Motorized Rifle Regiment,"46.581634, 32.7460968","48.0877106, 37.7816342","48.0877106, 37.7816342","48.0877106, 37.7816342","48.087711, 37.781634","48.087711, 37.781634","48.087711, 37.781634","48.087711, 37.781634","48.087711, 37.781634","48.0687869, 37.8080702","48.0687869, 37.8080702","48.0687869, 37.8080702"
"331-й парашутно-десантний полк (в/ч 71211) зі складу  98-ї ПДД /// 331st Airborne Regiment from the 98th Airborne Division
",,"49.0336309, 38.0864648","49.0336309, 38.0864648","49.0336309, 38.0864648",,,,,,,,
