Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,Gemiddelde beweging (km)
38-та окрема мотострілецька бригада /// 38th Separate Motorized Rifle Brigade ,"47.5067555, 36.1712351","47.5067555, 36.1712351","47.5067555, 36.1712351","47.5067555, 36.1712351","47.5067555, 36.1712351","47.5067555, 36.1712351","51.6092075, 35.9118389",456.66157028267736
64-та окрема мотострілецька бригада /// 64th Separate Motorized Rifle Brigade ,,,,"47.5772985, 36.2514076","47.5772985, 36.2514076","47.5772985, 36.2514076","51.6065097, 35.7910393",449.3651777179427
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","46.7220121, 33.2306913","46.7220121, 33.2306913",,,,,449.19890963410074
56-й парашутно-десантний полк /// 56th Air Assault Regiment ,,,,"47.4874913, 35.9757571","47.4874913, 35.9757571","47.4874913, 35.9757571","51.3449048, 34.7255677",438.48027669189884
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","46.7220121, 33.2306913","48.705179, 37.9922329",,,,,434.4678772162813
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","46.7220121, 33.2306913","48.6790228, 37.939907",,,,,432.0732278124419
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",,,,,419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913",,,,,419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",,,,,419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329",,,,,419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329",,,,,419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913",,,,,419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913","46.7220121, 33.2306913",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913",419.73684479846185
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","46.7220121, 33.2306913","48.705179, 37.9922329",,,,,417.3421953946225
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","46.7220121, 33.2306913","48.6790228, 37.939907",,,,,417.3421953946225
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.6790228, 37.939907","48.6790228, 37.939907",,,,,414.9475459907831
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.6790228, 37.939907","46.7220121, 33.2306913",,,,,414.9475459907831
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","46.7220121, 33.2306913","46.7220121, 33.2306913",,,,,414.9475459907831
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","46.7220121, 33.2306913","48.6790228, 37.939907",,,,,414.9475459907831
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","48.6790228, 37.939907","46.7220121, 33.2306913",,,,,414.9475459907831
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","46.7220121, 33.2306913","48.6790228, 37.939907",,,,,414.9475459907831
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","46.7220121, 33.2306913","48.0464243, 37.7984469",,,,,412.07205948290823
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",404.8062996428798
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",404.8062996428798
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",,,,,397.34102706508884
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","48.0464243, 37.7984469",397.34102706508884
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",397.34102706508884
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913","48.0464243, 37.7984469",397.34102706508884
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329",397.34102706508884
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",,,,,397.34102706508884
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",397.34102706508884
