Militaire eenheid,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01
1st Guards Tank Army,,"49.2920138, 37.1396655","49.2920138, 37.1396655","49.2920138, 37.1396655","49.2920138, 37.1396655",,,
1-й гвардійський мотострілецький полк,"49.0804211, 37.3337552",,,,,,,
1st Guards Motorized Rifle Regiment,,"49.0420078, 37.21093","49.0420078, 37.21093","49.0420078, 37.21093","49.0764286, 37.2684362",,,
1-й гвардійський танковий полк,"49.0631973, 37.2160506",,,,,,,
1st Guards Tank Regiment,,"49.0832136, 37.4498546","49.0832136, 37.4498546","49.0832136, 37.4498546","49.0832136, 37.4498546",,,
10-а окрема бригада спеціального призначення,"46.6420069, 32.4488924",,,,,,,
10th special brigade,,"46.6420069, 32.4488924","46.6420069, 32.4488924","46.6420069, 32.4488924","46.6420069, 32.4488924",,,
10th Separate Special Purpose Brigade,,,,,,"47.3282271, 33.7035347","47.0421689, 33.6232013","46.7656278, 33.3715431"
100th Separate Motorized Rifle Brigade (DPR),,"48.033223, 37.7333939","48.033223, 37.7333939","48.033223, 37.7333939","48.033223, 37.7333939","47.9488991, 37.5960691","47.9488991, 37.5960691","47.9488991, 37.5960691"
102-й мотострілецький полк,"48.6583442, 38.5742369",,,,,,,
102nd Motorized Rifle Regiment,,"48.6449622, 38.5326947","48.6449622, 38.5326947","48.6449622, 38.5326947","48.6449622, 38.5326947",,,
108th Guards Air Assault Regiment,,,,,,"46.7573816, 32.5560091","46.7573816, 32.5560091","46.6299868, 32.8315841"
11-а окрема десантно-штурмова бригада,"47.1609128, 33.234884",,,,,,,
11th Separate Assault Brigade,,"47.1609128, 33.234884","47.1609128, 33.234884","47.0808996, 33.3035481","47.0808996, 33.3035481",,"47.0665317, 33.2285329","46.7484858, 33.2556142"
11th Separate Motorized Rifle Brigade (DPR),,,,,,"48.1194757, 37.8206042","48.1194757, 37.8206042","48.1194757, 37.8206042"
11-й мотострілецький полк,"47.6907379, 37.5436469",,,,,,,
11th Separate Guards Motorized Rifle Regiment (DPR),,"48.1789383, 37.8973468","48.1789383, 37.8973468","48.1789383, 37.8973468","48.1789383, 37.8973468",,,
113-й окремий гвардійський мотострілковий батальйон,"46.7650535, 29.6975333",,,,,,,
113th Separate Guards Motorized Rifle Battalion,,"46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333"
126-а окрема бригада берегової оборони,"47.0805271, 33.6234978",,,,,,,
126th Separate Coast Guard Brigade,,"47.0805271, 33.6234978","47.0805271, 33.6234978","47.0805271, 33.6234978","47.0805271, 33.6234978",,,
126th Separate Guards Coastal Defense Brigade,,,,,,"47.3379991, 33.5914384","47.1382568, 33.3950571","46.7630849, 33.4218144"
127-а окрема розвідувальна бригада,"46.6910111, 32.5972083",,,,,,,
127th Separate Reconnaissance Brigade,,"46.7573816, 32.5560091","46.7573816, 32.5560091","46.7573816, 32.5560091","46.7573816, 32.5560091",,,
13-й гвардійський танковий полк,"49.1355538, 37.128952",,,,,,,
13th Guards Tank Regiment,,"49.6930482, 37.5375108","49.6930482, 37.5375108","49.6930482, 37.5375108","49.6930482, 37.5375108",,,
131st Reserve Regiment (DPR),,,,,,"47.7697389, 36.7789048","47.7697389, 36.7789048","47.7697389, 36.7789048"
136-а окрема гвардійська мотострілецька бригада,"47.9352619, 37.6071953",,,,,,,
136th Separate Guards Motorized Rifle Brigade,,,,,,"47.6717037, 37.3067378","47.6717037, 37.3067378","47.6717037, 37.3067378"
136th Separate Guards Motorized Rifle Brigade,,"47.9352619, 37.6071953","47.9352619, 37.6071953","47.9352619, 37.6071953","47.9352619, 37.6071953",,,
138-а окрема мотострілецька бригада,"50.4497, 36.9873161",,,,,,,
138th Separate Motorized Rifle Brigade,,"50.4497, 36.9873161","50.4497, 36.9873161","50.4497, 36.9873161","50.4497, 36.9873161",,,
140th Artillery Regiment,,,,,,"47.2719127, 33.8734532","47.0683884, 33.5603161","46.7884539, 33.455941"
141st Separate Guards Tank Battalion,,,,,,"47.4754216, 35.4067426","47.4754216, 35.4067426","47.4754216, 35.4067426"
144-а мотострілецька дивізія,"49.9119145, 37.2450273",,,,,,,
