Militaire eenheid,2024-09-4
7-й окремий розвідувальний батальйон зі складу 47-ї ТД/// 7th separate reconnaissance battalion  from the 47th TD ,"49.0111001, 38.1513187"
"Добровольча розвідувально-штурмова бригада ""александр нєвскій"" /// Voluntary reconnaissance and assault brigade ""Alexander Nevsky"" ","50.3293461, 36.9251475"
7-ма окрема мотострілецька бригада /// 7th separate motorized rifle brigade ,"48.9238155, 38.2966442"
5-й загін БАРС /// 5nd squad BARS ,"49.473927, 37.969827"
3-тя мотострілецька дивізія (в/ч 54046) /// 3rd Motor Rifle Division ,"49.2186751, 38.1361997"
144-та мотострілецька дивізія /// 144th Guards Motor Rifle Division ,"49.0510866, 38.1429158"
488-й мотострілецький полк (зі складу 144 мсд) /// 488th Motor Rifle Regiment (from the composition of 144 MRD) ,"51.0782083, 35.7276991"
1431-й мотострілецький полк територіальних військ /// 1431st motorized rifle regiment of territorial troops ,"49.6075721, 37.9156468"
90-та танкова дивізія (в/ч 86274) /// 90th tank division ,"48.1617464, 37.587922"
423-й мотострілецький полк (в/ч 91701) /// 423rd Guards Yampolsky Motor Rifle Regiment ,"49.386881, 38.040229"
БАРС-7 /// 7nd squad BARS ,"48.9778451, 38.2759827"
27-ма окрема мотострілецька бригада (в/ч 61899) /// 27th Separate Guards Motor Rifle Brigade ,"49.508538, 37.989845"
2-га мотострілецька дивізія зі складу 1-ї ТА /// 2nd motorized rifle division from the 1st TA ,"49.723482, 37.938209"
26-й танковий полк зі складу 47-ї ТД /// 26th Tank Regiment from the 47th TD ,"50.380672, 36.888271"
138-ма окрема мотострілецька бригада /// 138th Separate Guards Motor Rifle Brigade ,"49.9745056, 38.0737421"
25-та окрема мотострілецька бригада /// 25th Separate Guards Motor Rifle Brigade ,"50.3294752, 36.8942065"
245-й гвардійський мотострілецький полк /// 245th Guards Motor Rifle Regiment ,"50.2408018, 38.1051163"
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ","49.7831024, 37.6938571"
